ticker,company_name,rating_agency,rating,fiscal_year,liquid,cumprof,profitab,leverage,binary_target
5110.SR,Saudi Electricity,Fitch,A+,2024,-0.050828334,0.074804735,0.022115121,0.850255058,0
5110.SR,Saudi Electricity,Moodys,AA-,2024,-0.050828334,0.074804735,0.022115121,0.850255058,0
5110.SR,Saudi Electricity,S&P,A+,2024,-0.050828334,0.074804735,0.022115121,0.850255058,0
7010.SR,Saudi Telecom (STC),Fitch,A+,2024,0.21047846,0.239353315,0.083218878,1.357019012,0
7010.SR,Saudi Telecom (STC),Moodys,AA-,2024,0.21047846,0.239353315,0.083218878,1.357019012,0
7010.SR,Saudi Telecom (STC),S&P,A+,2024,0.21047846,0.239353315,0.083218878,1.357019012,0
7010.SR,Saudi Telecom (STC),Tassnief,AAA,2024,0.21047846,0.239353315,0.083218878,1.357019012,0
7020.SR,Mobily,Financial Analytics,AA,2024,-0.023769215,0.290747835,0.098391984,0.961096637,0
7020.SR,Etihad Etisalat Company,Tassnief,AA,2024,-0.023769215,0.290747835,0.098391984,0.961096637,0
7030.SR,Zain KSA,Financial Analytics,A,2024,-0.194387894,0.059603395,0.044824323,0.61432486,0
7030.SR,Mobile Telecommunications Company Saudi Arabia,Tassnief,A,2024,-0.194387894,0.059603395,0.044824323,0.61432486,0
9535.SR,Ladun Investment Company,Tassnief,BBB+,2024,0.005848958,0.051157433,0.034119268,0.267008915,1
9568.SR,Mayar Holding,Financial Analytics,BBB,2024,-0.349646388,0.002173072,0.078288238,0.068059243,1
9568.SR,Mayar Holding Company (Unsolicited Rating),Tassnief,BB,2024,-0.349646388,0.002173072,0.078288238,0.068059243,1
9596.SR,Quara Finance Company,Tassnief,BBB,2024,0.807789827,0.12808404,0.060336799,1.098654152,1
9619.SR,Multi Business Group,Financial Analytics,BB+,2024,0.778851041,0.292012684,0.209043957,3.2734437,1
9619.SR,Multi Business Group for Projects Company,Tassnief,BB+,2024,0.778851041,0.292012684,0.209043957,3.2734437,1
7020.SR,Etihad Etisalat (Mobily),Tassnief,AA-,2024,-0.023769215,0.290747835,0.098391984,0.961096637,0
2081.SR,Alkhorayef Water & Power,Tassnief,A-,2024,0.162740479,0.153659852,0.123781319,0.483900536,0
7010.SR,Saudi Telecom Company (STC),Tassnief,AAA,2023,0.14502934,0.17208263,0.09430338,1.043317964,0
7010.SR,Saudi Telecom Company (STC),Tassnief,AAA,2022,0.17774585,0.079828532,0.103240784,1.242362037,0
7010.SR,Saudi Telecom Company (STC),Tassnief,AAA,2021,0.140144026,0.297267055,0.103725775,1.265856127,0
7020.SR,Etihad Etisalat (Mobily),Tassnief,AA-,2023,-0.043632032,0.186349708,0.080055068,0.828582283,0
7020.SR,Etihad Etisalat (Mobily),Tassnief,A+,2022,-0.050792597,0.155048604,0.061857868,0.749712474,0
7020.SR,Etihad Etisalat (Mobily),Tassnief,A+,2021,-0.076164516,0.124079728,0.041522859,0.628784282,0
4300.SR,Dar Al Arkan Real Estate,Tassnief,A-,2024,0.09899372,0.242698433,0.021930458,1.33215716,0
4300.SR,Dar Al Arkan Real Estate,Tassnief,A-,2023,0.153530243,0.242055814,0.018641965,1.518464319,0
4300.SR,Dar Al Arkan Real Estate,Tassnief,A-,2022,0.13346348,0.22677177,0.017585372,1.409484191,0
4300.SR,Dar Al Arkan Real Estate,Tassnief,A-,2021,0.142449427,0.225410022,0.00424136,1.496606403,0
2081.SR,Alkhorayef Water & Power,Tassnief,A-,2023,0.286558376,0.13852093,0.115475563,0.461673785,0
2081.SR,Alkhorayef Water & Power,Tassnief,BBB+,2022,0.235829017,0.092489512,0.114803145,0.5038995,1
2010.SR,SABIC,Fitch,A,2023,0.162388341,0.095509532,0.023515128,1.970601984,0
